Id,Checking_status,Duration,Credit_history,Purpose,Credit_amount,Savings_status,Employment,Installment_commitment,Personal_status,Other_parties,Residence_since,Property_magnitude,Age,Other_payment_plans,Housing,Existing_credits,Job,Num_dependents,Own_telephone,Foreign_worker,Class
803,above 200,20,critical/other existing credit,furniture/equipment,4272,below 100,above 7,1,female div/dep/mar,none,4,life insurance,24,none,own,2,skilled,1,no,yes,good
804,above 200,12,critical/other existing credit,radio/tv,976,0,above 7,4,male single,none,4,car,35,none,own,2,skilled,1,no,yes,good
805,0-200,12,existing paid,new car,7472,0,0,1,female div/dep/mar,none,2,real estate,24,none,rent,1,unemp/unskilled non res,1,no,yes,good
806,above 200,36,existing paid,new car,9271,below 100,4-7,2,male single,none,1,car,24,none,own,1,skilled,1,yes,yes,bad
807,0-200,6,existing paid,radio/tv,590,below 100,below 1,3,male mar/wid,none,3,real estate,26,none,own,1,unskilled resident,1,no,no,good
808,above 200,12,critical/other existing credit,radio/tv,930,0,above 7,4,male single,none,4,real estate,65,none,own,4,skilled,1,no,yes,good
809,0-200,42,all paid,used car,9283,below 100,0,1,male single,none,2,none,55,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
810,0-200,15,no credits/all paid,new car,1778,below 100,below 1,2,female div/dep/mar,none,1,real estate,26,none,rent,2,unemp/unskilled non res,1,no,yes,bad
811,0-200,8,existing paid,business,907,below 100,below 1,3,male mar/wid,none,2,real estate,26,none,own,1,skilled,1,yes,yes,good
812,0-200,6,existing paid,radio/tv,484,below 100,4-7,3,male mar/wid,guarantor,3,real estate,28,bank,own,1,unskilled resident,1,no,yes,good
813,above 200,36,critical/other existing credit,used car,9629,below 100,4-7,4,male single,none,4,car,24,none,own,2,skilled,1,yes,yes,bad
814,above 200,48,existing paid,domestic appliance,3051,below 100,1-4,3,male single,none,4,car,54,none,own,1,skilled,1,no,yes,bad
815,above 200,48,existing paid,new car,3931,below 100,4-7,4,male single,none,4,none,46,none,for free,1,skilled,2,no,yes,bad
816,0-200,36,delayed previously,new car,7432,below 100,1-4,2,female div/dep/mar,none,2,life insurance,54,none,rent,1,skilled,1,no,yes,good
817,above 200,6,existing paid,domestic appliance,1338,500-1000,1-4,1,male div/sep,none,4,real estate,62,none,own,1,skilled,1,no,yes,good
818,above 200,6,critical/other existing credit,radio/tv,1554,below 100,4-7,1,female div/dep/mar,none,2,car,24,none,rent,2,skilled,1,yes,yes,good
819,above 200,36,existing paid,other,15857,below 100,0,2,male div/sep,co applicant,3,car,43,none,own,1,high qualif/self emp/mgmt,1,no,yes,good
820,above 200,18,existing paid,radio/tv,1345,below 100,1-4,4,male mar/wid,none,3,real estate,26,bank,own,1,skilled,1,no,yes,bad
821,above 200,12,existing paid,new car,1101,below 100,1-4,3,male mar/wid,none,2,real estate,27,none,own,2,skilled,1,yes,yes,good
822,above 200,12,existing paid,radio/tv,3016,below 100,1-4,3,male mar/wid,none,1,car,24,none,own,1,skilled,1,no,yes,good
823,above 200,36,existing paid,furniture/equipment,2712,below 100,above 7,2,male single,none,2,life insurance,41,bank,own,1,skilled,2,no,yes,bad
824,above 200,8,critical/other existing credit,new car,731,below 100,above 7,4,male single,none,4,real estate,47,none,own,2,unskilled resident,1,no,yes,good
825,above 200,18,critical/other existing credit,furniture/equipment,3780,below 100,below 1,3,male div/sep,none,2,car,35,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
826,above 200,21,critical/other existing credit,new car,1602,below 100,above 7,4,male mar/wid,none,3,car,30,none,own,2,skilled,1,yes,yes,good
827,above 200,18,critical/other existing credit,new car,3966,below 100,above 7,1,female div/dep/mar,none,4,real estate,33,bank,rent,3,skilled,1,yes,yes,bad
828,above 200,18,no credits/all paid,business,4165,below 100,1-4,2,male single,none,2,car,36,stores,own,2,skilled,2,no,yes,bad
829,above 200,36,existing paid,used car,8335,0,above 7,3,male single,none,4,none,47,none,for free,1,skilled,1,no,yes,bad
830,0-200,48,delayed previously,business,6681,0,1-4,4,male single,none,4,none,38,none,for free,1,skilled,2,yes,yes,good
831,above 200,24,delayed previously,business,2375,500-1000,1-4,4,male single,none,2,car,44,none,own,2,skilled,2,yes,yes,good
832,above 200,18,existing paid,new car,1216,below 100,below 1,4,female div/dep/mar,none,3,car,23,none,rent,1,skilled,1,yes,yes,bad
833,above 200,45,no credits/all paid,business,11816,below 100,above 7,2,male single,none,4,car,29,none,rent,2,skilled,1,no,yes,bad
834,0-200,24,existing paid,radio/tv,5084,0,above 7,2,female div/dep/mar,none,4,car,42,none,own,1,skilled,1,yes,yes,good
835,above 200,15,existing paid,radio/tv,2327,below 100,below 1,2,female div/dep/mar,none,3,real estate,25,none,own,1,unskilled resident,1,no,yes,bad
836,above 200,12,no credits/all paid,new car,1082,below 100,1-4,4,male single,none,4,car,48,bank,own,2,skilled,1,no,yes,bad
837,above 200,12,existing paid,radio/tv,886,0,1-4,4,female div/dep/mar,none,2,car,21,none,own,1,skilled,1,no,yes,good
838,above 200,4,existing paid,furniture/equipment,601,below 100,below 1,1,female div/dep/mar,none,3,real estate,23,none,rent,1,unskilled resident,2,no,yes,good
839,above 200,24,critical/other existing credit,used car,2957,below 100,above 7,4,male single,none,4,life insurance,63,none,own,2,skilled,1,yes,yes,good
840,above 200,24,critical/other existing credit,radio/tv,2611,below 100,above 7,4,male mar/wid,co applicant,3,real estate,46,none,own,2,skilled,1,no,yes,good
841,above 200,36,existing paid,furniture/equipment,5179,below 100,4-7,4,male single,none,2,life insurance,29,none,own,1,skilled,1,no,yes,bad
842,above 200,21,delayed previously,used car,2993,below 100,1-4,3,male single,none,2,real estate,28,stores,own,2,unskilled resident,1,no,yes,good
843,above 200,18,existing paid,repairs,1943,below 100,below 1,4,female div/dep/mar,none,4,real estate,23,none,own,1,skilled,1,no,yes,bad
844,above 200,24,all paid,business,1559,below 100,4-7,4,male single,none,4,car,50,bank,own,1,skilled,1,yes,yes,good
845,above 200,18,existing paid,furniture/equipment,3422,below 100,above 7,4,male single,none,4,life insurance,47,bank,own,3,skilled,2,yes,yes,good
846,0-200,21,existing paid,furniture/equipment,3976,0,4-7,2,male single,none,3,car,35,none,own,1,skilled,1,yes,yes,good
847,above 200,18,existing paid,new car,6761,0,1-4,2,male single,none,4,car,68,none,rent,2,skilled,1,no,yes,bad
848,above 200,24,existing paid,new car,1249,below 100,below 1,4,male mar/wid,none,2,real estate,28,none,own,1,skilled,1,no,yes,good
849,above 200,9,existing paid,radio/tv,1364,below 100,4-7,3,male single,none,4,real estate,59,none,own,1,skilled,1,no,yes,good
850,above 200,12,existing paid,radio/tv,709,below 100,above 7,4,male single,none,4,real estate,57,stores,own,1,unskilled resident,1,no,yes,bad
851,above 200,20,critical/other existing credit,new car,2235,below 100,1-4,4,male mar/wid,guarantor,2,life insurance,33,bank,rent,2,skilled,1,no,no,bad
852,above 200,24,critical/other existing credit,used car,4042,0,4-7,3,male single,none,4,life insurance,43,none,own,2,skilled,1,yes,yes,good
853,above 200,15,critical/other existing credit,radio/tv,1471,below 100,1-4,4,male single,none,4,none,35,none,for free,2,skilled,1,yes,yes,good
854,above 200,18,all paid,new car,1442,below 100,4-7,4,male single,none,4,none,32,none,for free,2,unskilled resident,2,no,yes,bad
855,above 200,36,delayed previously,new car,10875,below 100,above 7,2,male single,none,2,car,45,none,own,2,skilled,2,yes,yes,good
856,above 200,24,existing paid,new car,1474,100-500,below 1,4,male mar/wid,none,3,real estate,33,none,own,1,skilled,1,yes,yes,good
857,above 200,10,existing paid,retraining,894,0,4-7,4,female div/dep/mar,none,3,life insurance,40,none,own,1,skilled,1,yes,yes,good
858,above 200,15,critical/other existing credit,furniture/equipment,3343,below 100,1-4,4,male single,none,2,none,28,none,for free,1,skilled,1,yes,yes,good
859,above 200,15,existing paid,new car,3959,below 100,1-4,3,female div/dep/mar,none,2,life insurance,29,none,own,1,skilled,1,yes,yes,bad
860,above 200,9,existing paid,new car,3577,100-500,1-4,1,male single,guarantor,2,real estate,26,none,rent,1,skilled,2,no,no,good
861,above 200,24,critical/other existing credit,used car,5804,above 1000,1-4,4,male single,none,2,real estate,27,none,own,2,skilled,1,no,yes,good
862,above 200,18,delayed previously,business,2169,below 100,1-4,4,male mar/wid,none,2,car,28,none,own,1,skilled,1,yes,yes,bad
863,above 200,24,existing paid,radio/tv,2439,below 100,below 1,4,female div/dep/mar,none,4,real estate,35,none,own,1,skilled,1,yes,yes,bad
864,above 200,27,critical/other existing credit,furniture/equipment,4526,above 1000,below 1,4,male single,none,2,real estate,32,stores,own,2,unskilled resident,2,yes,yes,good
865,above 200,10,existing paid,furniture/equipment,2210,below 100,1-4,2,male single,none,2,real estate,25,bank,rent,1,unskilled resident,1,no,yes,bad
866,above 200,15,existing paid,furniture/equipment,2221,500-1000,1-4,2,female div/dep/mar,none,4,car,20,none,rent,1,skilled,1,no,yes,good
867,above 200,18,existing paid,radio/tv,2389,below 100,below 1,4,female div/dep/mar,none,1,car,27,stores,own,1,skilled,1,no,yes,good
868,above 200,12,critical/other existing credit,furniture/equipment,3331,below 100,above 7,2,male single,none,4,life insurance,42,stores,own,1,skilled,1,no,yes,good
869,above 200,36,existing paid,business,7409,0,above 7,3,male single,none,2,life insurance,37,none,own,2,skilled,1,no,yes,good
870,above 200,12,existing paid,furniture/equipment,652,below 100,above 7,4,female div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,no,yes,good
871,above 200,36,delayed previously,furniture/equipment,7678,500-1000,4-7,2,female div/dep/mar,none,4,car,40,none,own,2,skilled,1,yes,yes,good
872,above 200,6,critical/other existing credit,new car,1343,below 100,above 7,1,male single,none,4,real estate,46,none,own,2,skilled,2,no,no,good
873,above 200,24,critical/other existing credit,business,1382,100-500,4-7,4,male single,none,1,real estate,26,none,own,2,skilled,1,yes,yes,good
874,above 200,15,existing paid,domestic appliance,874,0,below 1,4,female div/dep/mar,none,1,real estate,24,none,own,1,skilled,1,no,yes,good
875,above 200,12,existing paid,furniture/equipment,3590,below 100,1-4,2,male single,co applicant,2,life insurance,29,none,own,1,unskilled resident,2,no,yes,good
876,0-200,11,critical/other existing credit,new car,1322,above 1000,1-4,4,female div/dep/mar,none,4,car,40,none,own,2,skilled,1,no,yes,good
877,above 200,18,all paid,radio/tv,1940,below 100,below 1,3,male single,co applicant,4,none,36,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
878,above 200,36,existing paid,radio/tv,3595,below 100,above 7,4,male single,none,2,car,28,none,own,1,skilled,1,no,yes,good
879,above 200,9,existing paid,new car,1422,below 100,below 1,3,male single,none,2,none,27,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
880,above 200,30,critical/other existing credit,radio/tv,6742,0,4-7,2,male single,none,3,life insurance,36,none,own,2,skilled,1,no,yes,good
881,above 200,24,existing paid,used car,7814,below 100,4-7,3,male single,none,3,car,38,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
882,above 200,24,existing paid,used car,9277,0,1-4,2,male div/sep,none,4,none,48,none,for free,1,skilled,1,yes,yes,good
883,0-200,30,critical/other existing credit,new car,2181,0,above 7,4,male single,none,4,real estate,36,none,own,2,skilled,1,no,yes,good
884,above 200,18,critical/other existing credit,radio/tv,1098,below 100,0,4,female div/dep/mar,none,4,car,65,none,own,2,unemp/unskilled non res,1,no,yes,good
885,0-200,24,existing paid,furniture/equipment,4057,below 100,4-7,3,male div/sep,none,3,car,43,none,own,1,skilled,1,yes,yes,bad
886,above 200,12,existing paid,education,795,below 100,below 1,4,female div/dep/mar,none,4,life insurance,53,none,own,1,skilled,1,no,yes,bad
887,0-200,24,critical/other existing credit,business,2825,0,4-7,4,male single,none,3,none,34,none,own,2,skilled,2,yes,yes,good
888,0-200,48,existing paid,business,15672,below 100,1-4,2,male single,none,2,car,23,none,own,1,skilled,1,yes,yes,bad
889,above 200,36,critical/other existing credit,new car,6614,below 100,above 7,4,male single,none,4,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
890,above 200,28,all paid,used car,7824,0,below 1,3,male single,guarantor,4,real estate,40,bank,rent,2,skilled,2,yes,yes,good
891,above 200,27,critical/other existing credit,business,2442,below 100,above 7,4,male single,none,4,car,43,stores,own,4,high qualif/self emp/mgmt,2,yes,yes,good
892,above 200,15,critical/other existing credit,radio/tv,1829,below 100,above 7,4,male single,none,4,car,46,none,own,2,skilled,1,yes,yes,good
893,above 200,12,critical/other existing credit,new car,2171,below 100,1-4,4,male single,none,4,life insurance,38,bank,own,2,unskilled resident,1,no,no,good
894,0-200,36,critical/other existing credit,used car,5800,below 100,1-4,3,male single,none,4,car,34,none,own,2,skilled,1,yes,yes,good
895,above 200,18,critical/other existing credit,radio/tv,1169,0,1-4,4,male single,none,3,life insurance,29,none,own,2,skilled,1,yes,yes,good
896,above 200,36,delayed previously,used car,8947,0,4-7,3,male single,none,2,car,31,stores,own,1,high qualif/self emp/mgmt,2,yes,yes,good
897,above 200,21,existing paid,radio/tv,2606,below 100,below 1,4,female div/dep/mar,none,4,life insurance,28,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
898,above 200,12,critical/other existing credit,furniture/equipment,1592,above 1000,4-7,3,female div/dep/mar,none,2,life insurance,35,none,own,1,skilled,1,no,no,good
899,above 200,15,existing paid,furniture/equipment,2186,0,4-7,1,female div/dep/mar,none,4,real estate,33,bank,rent,1,unskilled resident,1,no,yes,good
900,above 200,18,existing paid,furniture/equipment,4153,below 100,1-4,2,male single,co applicant,3,car,42,none,own,1,skilled,1,no,yes,bad
901,above 200,16,critical/other existing credit,new car,2625,below 100,above 7,2,male single,guarantor,4,life insurance,43,bank,rent,1,skilled,1,yes,yes,bad
902,above 200,20,critical/other existing credit,new car,3485,0,below 1,2,male div/sep,none,4,real estate,44,none,own,2,skilled,1,yes,yes,good
903,above 200,36,critical/other existing credit,used car,10477,0,above 7,2,male single,none,4,none,42,none,for free,2,skilled,1,no,yes,good
904,above 200,15,existing paid,radio/tv,1386,0,1-4,4,male mar/wid,none,2,real estate,40,none,rent,1,skilled,1,yes,yes,good
905,above 200,24,existing paid,radio/tv,1278,below 100,above 7,4,male single,none,1,real estate,36,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
906,above 200,12,existing paid,radio/tv,1107,below 100,1-4,2,male single,none,2,real estate,20,none,rent,1,high qualif/self emp/mgmt,2,yes,yes,good
907,above 200,21,existing paid,new car,3763,0,4-7,2,male single,co applicant,2,real estate,24,none,own,1,unskilled resident,1,no,no,good
908,0-200,36,existing paid,education,3711,0,1-4,2,male mar/wid,none,2,car,27,none,own,1,skilled,1,no,yes,good
909,above 200,15,delayed previously,used car,3594,below 100,below 1,1,female div/dep/mar,none,2,life insurance,46,none,own,2,unskilled resident,1,no,yes,good
910,0-200,9,existing paid,new car,3195,0,1-4,1,female div/dep/mar,none,2,real estate,33,none,own,1,unskilled resident,1,no,yes,good
911,above 200,36,delayed previously,radio/tv,4454,below 100,1-4,4,female div/dep/mar,none,4,real estate,34,none,own,2,skilled,1,no,yes,good
912,0-200,24,critical/other existing credit,furniture/equipment,4736,below 100,below 1,2,female div/dep/mar,none,4,car,25,bank,own,1,unskilled resident,1,no,yes,bad
913,0-200,30,existing paid,radio/tv,2991,0,above 7,2,female div/dep/mar,none,4,car,25,none,own,1,skilled,1,no,yes,good
914,above 200,11,existing paid,business,2142,above 1000,above 7,1,male div/sep,none,2,real estate,28,none,own,1,skilled,1,yes,yes,good
915,above 200,24,all paid,business,3161,below 100,1-4,4,male single,none,2,life insurance,31,none,rent,1,skilled,1,yes,yes,bad
916,0-200,48,no credits/all paid,other,18424,below 100,1-4,1,female div/dep/mar,none,2,life insurance,32,bank,own,1,high qualif/self emp/mgmt,1,yes,no,bad
917,above 200,10,existing paid,used car,2848,100-500,1-4,1,male single,co applicant,2,real estate,32,none,own,1,skilled,2,no,yes,good
918,above 200,6,existing paid,new car,14896,below 100,above 7,1,male single,none,4,none,68,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
919,above 200,24,existing paid,furniture/equipment,2359,100-500,0,1,male div/sep,none,1,life insurance,33,none,own,1,skilled,1,no,yes,bad
920,above 200,24,existing paid,furniture/equipment,3345,below 100,above 7,4,male single,none,2,life insurance,39,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
921,above 200,18,critical/other existing credit,furniture/equipment,1817,below 100,1-4,4,female div/dep/mar,none,2,none,28,none,own,2,skilled,1,no,yes,good
922,above 200,48,delayed previously,radio/tv,12749,500-1000,4-7,4,male single,none,1,car,37,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
923,above 200,9,existing paid,radio/tv,1366,below 100,below 1,3,female div/dep/mar,none,4,life insurance,22,none,rent,1,skilled,1,no,yes,bad
924,0-200,12,existing paid,new car,2002,below 100,4-7,3,male single,none,4,life insurance,30,none,rent,1,skilled,2,yes,yes,good
925,above 200,24,all paid,furniture/equipment,6872,below 100,below 1,2,male div/sep,none,1,life insurance,55,bank,own,1,skilled,1,yes,yes,bad
926,above 200,12,all paid,new car,697,below 100,below 1,4,male single,none,2,car,46,bank,own,2,skilled,1,yes,yes,bad
927,above 200,18,critical/other existing credit,furniture/equipment,1049,below 100,below 1,4,female div/dep/mar,none,4,life insurance,21,none,rent,1,skilled,1,no,yes,good
928,above 200,48,existing paid,used car,10297,below 100,4-7,4,male single,none,4,none,39,stores,for free,3,skilled,2,yes,yes,bad
929,above 200,30,existing paid,radio/tv,1867,0,above 7,4,male single,none,4,car,58,none,own,1,skilled,1,yes,yes,good
930,above 200,12,delayed previously,new car,1344,below 100,1-4,4,male single,none,2,real estate,43,none,own,2,unskilled resident,2,no,yes,good
931,above 200,24,existing paid,furniture/equipment,1747,below 100,below 1,4,male single,co applicant,1,life insurance,24,none,own,1,unskilled resident,1,no,no,good
932,0-200,9,existing paid,radio/tv,1670,below 100,below 1,4,female div/dep/mar,none,2,car,22,none,own,1,skilled,1,yes,yes,bad
933,above 200,9,critical/other existing credit,new car,1224,below 100,1-4,3,male single,none,1,real estate,30,none,own,2,skilled,1,no,yes,good
934,above 200,12,critical/other existing credit,radio/tv,522,500-1000,above 7,4,male single,none,4,life insurance,42,none,own,2,skilled,2,yes,yes,good
935,above 200,12,existing paid,radio/tv,1498,below 100,1-4,4,female div/dep/mar,none,1,car,23,bank,own,1,skilled,1,no,yes,good
936,0-200,30,delayed previously,radio/tv,1919,100-500,below 1,4,male single,none,3,none,30,stores,own,2,high qualif/self emp/mgmt,1,no,yes,bad
937,above 200,9,existing paid,radio/tv,745,below 100,1-4,3,female div/dep/mar,none,2,real estate,28,none,own,1,unskilled resident,1,no,yes,bad
938,0-200,6,existing paid,radio/tv,2063,below 100,below 1,4,male mar/wid,none,3,car,30,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
939,0-200,60,existing paid,education,6288,below 100,1-4,4,male single,none,4,none,42,none,for free,1,skilled,1,no,yes,bad
940,above 200,24,critical/other existing credit,used car,6842,0,1-4,2,male single,none,4,life insurance,46,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good
941,above 200,12,existing paid,new car,3527,0,below 1,2,male single,none,3,life insurance,45,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good
942,above 200,10,existing paid,new car,1546,below 100,1-4,3,male single,none,2,real estate,31,none,own,1,unskilled resident,2,no,no,good
943,above 200,24,existing paid,furniture/equipment,929,0,4-7,4,male single,none,2,car,31,stores,own,1,skilled,1,yes,yes,good
944,above 200,4,critical/other existing credit,new car,1455,below 100,4-7,2,male single,none,1,real estate,42,none,own,3,unskilled resident,2,no,yes,good
945,above 200,15,existing paid,furniture/equipment,1845,below 100,below 1,4,female div/dep/mar,guarantor,1,life insurance,46,none,rent,1,skilled,1,no,yes,good
946,0-200,48,no credits/all paid,new car,8358,500-1000,below 1,1,female div/dep/mar,none,1,car,30,none,own,2,skilled,1,no,yes,good
947,above 200,24,all paid,furniture/equipment,3349,500-1000,below 1,4,male single,none,4,none,30,none,for free,1,skilled,2,yes,yes,bad
948,above 200,12,existing paid,new car,2859,0,0,4,male single,none,4,none,38,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
949,above 200,18,existing paid,furniture/equipment,1533,below 100,below 1,4,male mar/wid,co applicant,1,life insurance,43,none,own,1,unskilled resident,2,no,yes,bad
950,above 200,24,existing paid,radio/tv,3621,100-500,above 7,2,male single,none,4,car,31,none,own,2,skilled,1,no,yes,bad
951,0-200,18,critical/other existing credit,business,3590,below 100,0,3,male mar/wid,none,3,car,40,none,own,3,unemp/unskilled non res,2,yes,yes,good
952,above 200,36,delayed previously,business,2145,below 100,4-7,2,male single,none,1,car,24,none,own,2,skilled,1,yes,yes,bad
953,0-200,24,existing paid,used car,4113,500-1000,below 1,3,female div/dep/mar,none,4,car,28,none,rent,1,skilled,1,no,yes,bad
954,above 200,36,existing paid,furniture/equipment,10974,below 100,0,4,female div/dep/mar,none,2,car,26,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
955,above 200,12,existing paid,new car,1893,below 100,1-4,4,female div/dep/mar,guarantor,4,life insurance,29,none,own,1,skilled,1,yes,yes,good
956,above 200,24,critical/other existing credit,radio/tv,1231,above 1000,above 7,4,female div/dep/mar,none,4,life insurance,57,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,good
957,above 200,30,critical/other existing credit,radio/tv,3656,0,above 7,4,male single,none,4,life insurance,49,stores,own,2,unskilled resident,1,no,yes,good
958,0-200,9,critical/other existing credit,radio/tv,1154,below 100,above 7,2,male single,none,4,real estate,37,none,own,3,unskilled resident,1,no,yes,good
959,above 200,28,existing paid,new car,4006,below 100,1-4,3,male single,none,2,car,45,none,own,1,unskilled resident,1,no,yes,bad
960,0-200,24,existing paid,furniture/equipment,3069,100-500,above 7,4,male single,none,4,none,30,none,for free,1,skilled,1,no,yes,good
961,above 200,6,critical/other existing credit,radio/tv,1740,below 100,above 7,2,male mar/wid,none,2,real estate,30,none,rent,2,skilled,1,no,yes,good
962,0-200,21,delayed previously,new car,2353,below 100,1-4,1,male div/sep,none,4,life insurance,47,none,own,2,skilled,1,no,yes,good
963,above 200,15,existing paid,new car,3556,0,1-4,3,male single,none,2,none,29,none,own,1,skilled,1,no,yes,good
964,above 200,24,existing paid,radio/tv,2397,500-1000,above 7,3,male single,none,2,car,35,bank,own,2,skilled,1,yes,yes,bad
965,0-200,6,existing paid,repairs,454,below 100,below 1,3,male mar/wid,none,1,life insurance,22,none,own,1,unskilled resident,1,no,yes,good
966,0-200,30,existing paid,radio/tv,1715,0,1-4,4,female div/dep/mar,none,1,car,26,none,own,1,skilled,1,no,yes,good
967,0-200,27,critical/other existing credit,radio/tv,2520,500-1000,1-4,4,male single,none,2,life insurance,23,none,own,2,unskilled resident,1,no,yes,bad
968,above 200,15,existing paid,radio/tv,3568,below 100,above 7,4,female div/dep/mar,none,2,car,54,bank,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
969,above 200,42,existing paid,radio/tv,7166,0,4-7,2,male mar/wid,none,4,life insurance,29,none,rent,1,skilled,1,yes,yes,good
970,above 200,11,critical/other existing credit,new car,3939,below 100,1-4,1,male single,none,2,real estate,40,none,own,2,unskilled resident,2,no,yes,good
971,0-200,15,existing paid,repairs,1514,100-500,1-4,4,male single,guarantor,2,real estate,22,none,own,1,skilled,1,no,yes,good
972,above 200,24,existing paid,new car,7393,below 100,1-4,1,male single,none,4,life insurance,43,none,own,1,unskilled resident,2,no,yes,good
973,above 200,24,all paid,new car,1193,below 100,0,1,female div/dep/mar,co applicant,4,none,29,none,rent,2,unemp/unskilled non res,1,no,yes,bad
974,above 200,60,existing paid,business,7297,below 100,above 7,4,male single,co applicant,4,none,36,none,rent,1,skilled,1,no,yes,bad
975,above 200,30,critical/other existing credit,radio/tv,2831,below 100,1-4,4,female div/dep/mar,none,2,car,33,none,own,1,skilled,1,yes,yes,good
976,above 200,24,existing paid,radio/tv,1258,500-1000,1-4,3,female div/dep/mar,none,3,car,57,none,own,1,unskilled resident,1,no,yes,good
977,0-200,6,existing paid,radio/tv,753,below 100,1-4,2,female div/dep/mar,guarantor,3,real estate,64,none,own,1,skilled,1,no,yes,good
978,0-200,18,delayed previously,business,2427,0,above 7,4,male single,none,2,life insurance,42,none,own,2,skilled,1,no,yes,good
979,above 200,24,delayed previously,new car,2538,below 100,above 7,4,male single,none,4,car,47,none,own,2,unskilled resident,2,no,yes,bad
980,0-200,15,all paid,new car,1264,100-500,1-4,2,male mar/wid,none,2,life insurance,25,none,rent,1,skilled,1,no,yes,bad
981,0-200,30,critical/other existing credit,furniture/equipment,8386,below 100,4-7,2,male single,none,2,life insurance,49,none,own,1,skilled,1,no,yes,bad
982,above 200,48,existing paid,business,4844,below 100,0,3,male single,none,2,car,33,bank,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
983,above 200,21,existing paid,new car,2923,100-500,1-4,1,female div/dep/mar,none,1,car,28,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good
984,above 200,36,existing paid,used car,8229,below 100,1-4,2,male single,none,2,life insurance,26,none,own,1,skilled,2,no,yes,bad
985,above 200,24,critical/other existing credit,furniture/equipment,2028,below 100,4-7,2,male single,none,2,life insurance,30,none,own,2,unskilled resident,1,no,yes,good
986,above 200,15,critical/other existing credit,furniture/equipment,1433,below 100,1-4,4,female div/dep/mar,none,3,life insurance,25,none,rent,2,skilled,1,no,yes,good
987,above 200,42,no credits/all paid,business,6289,below 100,below 1,2,male div/sep,none,1,life insurance,33,none,own,2,skilled,1,no,yes,good
988,above 200,13,existing paid,radio/tv,1409,100-500,0,2,female div/dep/mar,none,4,real estate,64,none,own,1,skilled,1,no,yes,good
989,above 200,24,existing paid,used car,6579,below 100,0,4,male single,none,2,none,29,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
990,0-200,24,critical/other existing credit,radio/tv,1743,below 100,above 7,4,male single,none,2,life insurance,48,none,own,2,unskilled resident,1,no,yes,good
991,above 200,12,critical/other existing credit,education,3565,0,below 1,2,male single,none,1,life insurance,37,none,own,2,unskilled resident,2,no,yes,good
992,above 200,15,all paid,radio/tv,1569,100-500,above 7,4,male single,none,4,car,34,bank,own,1,unskilled resident,2,no,yes,good
993,above 200,18,existing paid,radio/tv,1936,0,4-7,2,male mar/wid,none,4,car,23,none,rent,2,unskilled resident,1,no,yes,good
994,above 200,36,existing paid,furniture/equipment,3959,below 100,0,4,male single,none,3,life insurance,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
995,above 200,12,existing paid,new car,2390,0,above 7,4,male single,none,3,car,50,none,own,1,skilled,1,yes,yes,good
996,above 200,12,existing paid,furniture/equipment,1736,below 100,4-7,3,female div/dep/mar,none,4,real estate,31,none,own,1,unskilled resident,1,no,yes,good
997,above 200,30,existing paid,used car,3857,below 100,1-4,4,male div/sep,none,4,life insurance,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
998,above 200,12,existing paid,radio/tv,804,below 100,above 7,4,male single,none,4,car,38,none,own,1,skilled,1,no,yes,good
999,above 200,45,existing paid,radio/tv,1845,below 100,1-4,4,male single,none,4,none,23,none,for free,1,skilled,1,yes,yes,bad
1000,0-200,45,critical/other existing credit,used car,4576,100-500,0,3,male single,none,4,car,27,none,own,1,skilled,1,no,yes,good
